                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51 
                            log_star_age                               luminosity                                star_mass                                   radius                               surface_h1                              surface_he4                            total_mass_h1                           total_mass_he4                       mass_semiconv_core                             he_core_mass                           he_core_radius                              c_core_mass                           center_entropy                        luminosity_ergs_s                        planet_radius_cgs                           planet_age_cgs                          planet_mass_cgs                            Hydrogen_Mass                                 He4_Mass                             Time_Step_dt                                     mdot                                     T(1)                                  xa(1,1)                                  xa(2,1)                                  xa(3,1)                                  xa(4,1)                                  xa(5,1)                                  xa(6,1)                                  xa(7,1)                                  xa(8,1)                                  xa(8,1)                      Temperature_of_base                         Pressure_of_Base                            photosphere_r                             tau10_radius                            tau100_radius                                 tau_base                                 r_10_bar                                r_100_bar                               r_1000_bar                            homopause_rad                                      f_r                             scale_height                                   R_kbar                                R_transit                                   Region                                      q_c                                    q_net                                escape_el                               right_side                            envelope_mass 
                 6.8533930148244071E+000                  1.0744927015063656E-007                  1.7316961592600039E-005                  3.5824897468272103E-002                  7.4000000000000066E-001                  2.3998000081629320E-001                  6.4072757892619966E-007                  2.0778622285639265E-007                  1.7279741377320214E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2548370230075596E+000                  4.1279860606471553E+026                  2.4933412139968028E+009                  2.2500886126080988E+014                  3.4446899999999994E+028                  1.2745352999999957E+027                  4.1332835450593677E+026                  3.5818001142349734E+013                  0.0000000000000000E+000                  1.4728572343691128E+003                  7.4000000000000055E-001                  1.9999183706787520E-005                  2.3998000081629320E-001                  4.1190033572070543E-003                  1.2069358269711384E-003                  1.1203889262184411E-002                  2.5128927550411633E-003                  9.5727879859565693E-004                  9.5727879859565693E-004                  5.6481047807585928E+003                  1.2366929770949411E+011                  2.4933412139968019E+009                  0.0000000000000000E+000                  2.4376277743848224E+009                  6.6666666666666663E-001                  2.3222720022745700E+009                  2.0675826517603199E+009                  1.8251309448192627E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4313526475182667E+008                  1.8256570392100449E+009                  3.8893026338160143E+009                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7223449999999930E+027 
                 6.9292638399361817E+000                  1.0691259836364125E-007                  1.7316914013837789E-005                  3.5721315427115437E-002                  7.3999677677189402E-001                  2.3998102368247901E-001                  6.4068957992354835E-007                  2.0777569051766734E-007                  1.7279242422229872E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2441261214608668E+000                  4.1073682039343691E+026                  2.4861321110963802E+009                  2.6796029477378169E+014                  3.4446805356326129E+028                  1.2744652636813318E+027                  4.1330564191700403E+026                  4.2981601370819680E+013                 -2.2019578342330980E+009                  1.4731459032487528E+003                  7.3999838840361953E-001                  2.0000282731800576E-005                  2.3998051224377795E-001                  4.1192297108315233E-003                  1.2070021523113343E-003                  1.1204504955040835E-002                  2.5130308472769976E-003                  9.5733140440995156E-004                  9.5733140440995156E-004                  5.6233361041236576E+003                  1.2393014730826505E+011                  2.4861321110963802E+009                  0.0000000000000000E+000                  2.4323215094297500E+009                  6.6666666666666663E-001                  2.3171986523068752E+009                  2.0599510527715075E+009                  1.8236578049263117E+009                  4.5614064767607546E+009                  1.9207610837723906E-006                  1.4233723223829025E+008                  1.8244749697414536E+009                  3.8765227802670102E+009                  1.0000000000000000E+000                  4.0461017409900984E+013                  2.1065096409822720E+019                  2.2019578342330980E+009                  1.2776670974723588E+008                  1.7223449999999930E+027 
                 7.0056669945136525E+000                  1.0629416016322483E-007                  1.7316857084362648E-005                  3.5601371879772012E-002                  7.3999372838378219E-001                  2.3998251709624630E-001                  6.4064481316389514E-007                  2.0776332144026449E-007                  1.7278629992094807E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2316597661393427E+000                  4.0836090451507715E+026                  2.4777842800883727E+009                  3.1950201498934794E+014                  3.4446692112214177E+028                  1.2743773142134272E+027                  4.1328068184336830E+026                  5.1577921644983617E+013                 -2.1955927718565121E+009                  1.4734867919091143E+003                  7.3999565966637448E-001                  2.0001619916085689E-005                  2.3998190240497472E-001                  4.1195051154000453E-003                  1.2070828503860469E-003                  1.1205254068848336E-002                  2.5131988641696607E-003                  9.5739540993061245E-004                  9.5739540993061245E-004                  5.5946172589035405E+003                  1.2423222252235823E+011                  2.4777842800883727E+009                  0.0000000000000000E+000                  2.4243296174847360E+009                  6.6666666666666663E-001                  2.3090720320083637E+009                  2.0544349516511860E+009                  1.8215684106139538E+009                  4.5547507197842350E+009                  2.3940696789778961E-006                  1.4141618363693103E+008                  1.8238501495904531E+009                  3.8625709455552578E+009                  1.0000000000000000E+000                  4.0490402142078547E+013                  1.6912791844623829E+019                  2.1955927718565125E+009                  1.2776625038495885E+008                  1.7222485002066216E+027 
                 7.0825195117019986E+000                  1.0558032738752982E-007                  1.7316788997452430E-005                  3.5464229700049983E-002                  7.3999007504351522E-001                  2.3998431098506665E-001                  6.4059126665931259E-007                  2.0774853470129436E-007                  1.7277900032879514E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2172307059434324E+000                  4.0561850175741205E+026                  2.4682394586640797E+009                  3.8135207924802738E+014                  3.4446556673732374E+028                  1.2742721164695198E+027                  4.1325084024163229E+026                  6.1893505973980336E+013                 -2.1882502803803692E+009                  1.4738481760777502E+003                  7.3999238888593599E-001                  2.0003219417890197E-005                  2.3998357201882137E-001                  4.1198345465107977E-003                  1.2071793791274938E-003                  1.1206150137475702E-002                  2.5133998411972819E-003                  9.5747197151373610E-004                  9.5747197151373610E-004                  5.5614854255268037E+003                  1.2458004874639572E+011                  2.4682394586640787E+009                  0.0000000000000000E+000                  2.4151892025263805E+009                  6.6666666666666663E-001                  2.3017426023744326E+009                  2.0481915360264206E+009                  1.8162240605303066E+009                  4.5470432600782299E+009                  2.9902904567559567E-006                  1.4036376726814944E+008                  1.8172084832243900E+009                  3.8402450838626108E+009                  1.0000000000000000E+000                  4.0524504376092773E+013                  1.3552029464072913E+019                  2.1882502803803692E+009                  1.2776570030372088E+008                  1.7221348849574818E+027 
                 7.1597505660893273E+000                  1.0476713630124173E-007                  1.7316707605234001E-005                  3.5308677974122342E-002                  7.3998569741014986E-001                  2.3998646609191590E-001                  6.4052724795883388E-007                  2.0773086729786680E-007                  1.7277041404343113E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.2006131581959369E+000                  4.0249438424211044E+026                  2.4574133696429672E+009                  4.5557215635844269E+014                  3.4446394768331472E+028                  1.2741463459379450E+027                  4.1321518125596486E+026                  7.4272207168776406E+013                 -2.1798921436519709E+009                  1.4742386829846403E+003                  7.3998846898969595E-001                  2.0005131839558252E-005                  2.3998557750291330E-001                  4.1202284261504163E-003                  1.2072947923494177E-003                  1.1207221509232947E-002                  2.5136401365325666E-003                  9.5756351128574143E-004                  9.5756351128574143E-004                  5.5234790526574661E+003                  1.2497803909803151E+011                  2.4574133696429667E+009                  0.0000000000000000E+000                  2.4048176938922343E+009                  6.6666666666666663E-001                  2.2932859142033815E+009                  2.0411958835310183E+009                  1.8127138279363005E+009                  4.5382307780386505E+009                  3.7420898289083311E-006                  1.3917269839041233E+008                  1.8148600491590557E+009                  3.8205500244371815E+009                  1.0000000000000000E+000                  4.0563591950030117E+013                  1.0839823148196209E+019                  2.1798921436519704E+009                  1.2776504199657102E+008                  1.7219990011448578E+027 
                 7.2368358395517527E+000                  1.0384866266856852E-007                  1.7316610992294036E-005                  3.5134688572535454E-002                  7.3998049615174433E-001                  2.3998904156173767E-001                  6.4045125407401219E-007                  2.0770991056741137E-007                  1.7276031914693997E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1816928966767035E+000                  3.9896579224010648E+026                  2.4453040552713232E+009                  5.4405454971657194E+014                  3.4446202585871296E+028                  1.2739969883713943E+027                  4.1317289806579663E+026                  8.8544540859307719E+013                 -2.1704608586930227E+009                  1.4746346542165841E+003                  7.3998379358212363E-001                  2.0007402632785216E-005                  2.3998797975378014E-001                  4.1206961154852681E-003                  1.2074318330277502E-003                  1.1208493646947430E-002                  2.5139254611704063E-003                  9.5767220483263980E-004                  9.5767220483263980E-004                  5.4804040095809587E+003                  1.2542746667125888E+011                  2.4453040552713227E+009                  0.0000000000000000E+000                  2.3932098773229132E+009                  6.6666666666666663E-001                  2.2835962158934398E+009                  2.0334914092485802E+009                  1.8059125839537506E+009                  4.5282367113908291E+009                  4.6910633043529084E-006                  1.3784228253886598E+008                  1.8064878551298902E+009                  3.7923671609318829E+009                  1.0000000000000000E+000                  4.0608044014104500E+013                  8.6564689878355907E+018                  2.1704608586930227E+009                  1.2776425447246177E+008                  1.7218365613866679E+027 
                 7.3094993315490173E+000                  1.0282629548495350E-007                  1.7316503324175891E-005                  3.4951710064442587E-002                  7.3997478239457481E-001                  2.3999196226076838E-001                  6.4036663712824951E-007                  2.0768659894583412E-007                  1.7274859592783063E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1615005013888986E+000                  3.9503806199409435E+026                  2.4325691170650759E+009                  6.4314061779371012E+014                  3.4445988412450683E+028                  1.2738299983469443E+027                  4.1312607845116860E+026                  9.9155663296015984E+013                 -2.1599716394777346E+009                  1.4748372421109307E+003                  7.3997846657471056E-001                  2.0009936610359156E-005                  2.3999077014621389E-001                  4.1212180098929166E-003                  1.2075847566852134E-003                  1.1209913225093590E-002                  2.5142438548598866E-003                  9.5779349593347676E-004                  9.5779349593347676E-004                  5.4346592705272124E+003                  1.2590255368697678E+011                  2.4325691170650754E+009                  0.0000000000000000E+000                  2.3810021408911242E+009                  6.6666666666666663E-001                  2.2742636752268205E+009                  2.0255577541797414E+009                  1.8013278208591061E+009                  4.5170586555098791E+009                  5.8821605899746989E-006                  1.3642984839098909E+008                  1.8023813268101287E+009                  3.7676013551121616E+009                  1.0000000000000000E+000                  4.0657917682770250E+013                  6.9120720287823923E+018                  2.1599716394777346E+009                  1.2776331890094881E+008                  1.7216437628831753E+027 
                 7.3768110365568464E+000                  1.0175667687845671E-007                  1.7316386760006459E-005                  3.4765804341759063E-002                  7.3996862802614449E-001                  2.3999516163687903E-001                  6.4027505736299309E-007                  2.0766139281973627E-007                  1.7273586103568828E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1406197326707206E+000                  3.9092880123165497E+026                  2.4196304505777483E+009                  7.5096145012551400E+014                  3.4445756543004846E+028                  1.2736489111542427E+027                  4.1307556526514068E+026                  1.0789656259914959E+014                 -2.1489975236220131E+009                  1.4749145192386593E+003                  7.3997262741844594E-001                  2.0012682104427958E-005                  2.3999386095085459E-001                  4.1217834679362223E-003                  1.2077504452054524E-003                  1.1211451298445368E-002                  2.5145888255474727E-003                  9.5792491146034359E-004                  9.5792491146034359E-004                  5.3875849525553122E+003                  1.2638927216875200E+011                  2.4196304505777473E+009                  0.0000000000000000E+000                  2.3685967508977637E+009                  6.6666666666666663E-001                  2.2616689344156194E+009                  2.0176754453562558E+009                  1.7959974418756394E+009                  4.5052922627443790E+009                  7.2856358271795056E-006                  1.3499031823512223E+008                  1.7975790142770460E+009                  3.7417030069109259E+009                  1.0000000000000000E+000                  4.0710596160245570E+013                  5.5877890586257725E+018                  2.1489975236220136E+009                  1.2776227528759648E+008                  1.7214291316082877E+027 
                 7.4390760989164102E+000                  1.0067574740636082E-007                  1.7316262251571823E-005                  3.4580078361576123E-002                  7.3996205782155111E-001                  2.3999860985906479E-001                  6.4017724081511341E-007                  2.0763449462575643E-007                  1.7272225221521117E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1193472035856962E+000                  3.8677608638575698E+026                  2.4067042938089752E+009                  8.6672775852190450E+014                  3.4445508870826670E+028                  1.2734553112599445E+027                  4.1302171713368177E+026                  1.1584761933876503E+014                 -2.1379134037284093E+009                  1.4749268846140519E+003                  7.3996634160996189E-001                  2.0015616268234540E-005                  2.3999720954160669E-001                  4.1223877841296804E-003                  1.2079275198037111E-003                  1.1213095067853568E-002                  2.5149575025434825E-003                  9.5806535783279760E-004                  9.5806535783279760E-004                  5.3398586453461803E+003                  1.2688069141003040E+011                  2.4067042938089752E+009                  0.0000000000000000E+000                  2.3561982487652311E+009                  6.6666666666666663E-001                  2.2521878077740402E+009                  2.0099898560226057E+009                  1.7887729641015992E+009                  4.4933328746014528E+009                  8.8882350174386955E-006                  1.3355388194310929E+008                  1.7888385421930664E+009                  3.7116240786149955E+009                  1.0000000000000000E+000                  4.0764325913786617E+013                  4.5863240377653279E+018                  2.1379134037284093E+009                  1.2776114432655101E+008                  1.7211968851331211E+027 
